name,latitude,longitude
ПГ "акад. Петко Стайнов",42.6215006,25.3767126
ОУ «Св. Св. Кирил и Методий»,43.0463704,27.670233
ОУ "Драган Манчов",42.1300983,24.7058218
ОМГ "Акад. Кирил Попов",42.129739,24.7062529
Smarty Kids,42.1387427,24.7574276
Smarty Kids,42.1242647,24.7224086
Smarty Kids,42.1324146,24.795232
Smarty Kids,42.1405834,24.718101
Smarty Kids,42.1600324,24.7404224
Частна профилирана гимназия "Антонан дьо Сент-Екзюпери",43.2125441,27.9318219
Учебни работилници към ПГ по облекло "Ана Май",42.1598376,24.7381519
СОУ "Отец Паисий",42.3279444,23.5558555
Спортно училище "Никола Велчев",42.3285619,23.5560114
ПГ по земеделие «Земя»,43.2042676,27.442842
ПГХРТ «Цар Симеон Велики»,43.169792,27.4435394
ОУ «Христо Смирненски»,43.1697693,27.4431643
СУ "Димитър Благоев",43.1771823,27.4417297
ОУ Христо Ботев,42.4677322,24.4837322
Професионална гимназия по телекомуникации,42.6553481,23.3478535
школа,43.0232187,27.8762516
ОУ «Доктор Петър Берон»,43.1104989,27.8281228
ОУ Отец Паисий,43.2133906,27.8856339
ОУ Георги Стойков Раковски,43.2040866,23.1605704
СОУ "Христо Ботев",41.8345307,24.8298298
Професионална Техническа Гимназия,43.2208025,27.9012048
Професионална Техническа Гимназия,43.2209121,27.9002671
ОУ Св. Св. Кирил и Методии,43.2307792,24.3943505
ОУ Христо Ботев,43.3283055,24.0674077
ОУ Любен Каравелов,43.1999038,24.3191895
ОУ "Любен Каравелов",43.8492297,25.9490166
Средно училище "Христо Ботев",41.8339791,25.3307404
Средно училище "Христо Ботев",41.8371576,25.3310904
ОУ "Максим Горки",41.6881575,25.4996967
СОУ Йордан Йовков,42.5271992,27.4616602
СОУ Добри Чинтулов,42.5274878,27.4614832
Спортно училище Юрий Гагарин,42.5138967,27.4684891
Детски образователен център „SUNNY“,42.5220583,27.4628695
33 Езикова гимназия „Света София“,42.7116443,23.2957279
45 ОУ „Константин Величков“,42.7113488,23.2964379
Зелена класна стая,42.6337625,23.2259559
Езиково училище Уилям Шекспир,42.1518921,24.7494525
СУ "Васил Левски",43.2740609,26.9565785
Христо Ботев,42.7393962,26.6310872
Deutsch korrekt,42.6710248,23.2899937
СУ Христо Ботев,41.4957112,25.2999095
СУ "Хан Исперих",43.3422964,27.1913738
ПГ по Химични Технологии и Дизайн "проф. д-р Асен Златаров",43.3426046,27.191862
Откривател,42.6738411,23.3131323
ЧУ Артис,42.6481921,23.3746722
ПГ по Компютърно Моделиране и Компютърни Системи "Акад. Благовест Сендов",43.2240563,27.9381173
Мари-Жанет,42.6700552,23.2842359
Милеа,42.6751608,23.288363
ОУ „ Княз Александър I “,42.1526755,24.748693
ГХП Св.Св. Кирил и Методий,42.1526407,24.7482906
Професионалната гимназия по компютърно моделиране и компютърни системи „акд. Благовест Сендов“,43.2228921,27.9370871
ОУ Св. Св. Кирил и Методий,43.8633628,26.1016185
13 СУ „Св. Св. Кирил и Методий“,42.7029317,23.3210827
5 Вечерно СУ „Пеньо Пенев“,42.7028275,23.3217037
Stemy,42.670297,23.3330049
ОУ Васил Левски,43.2477621,24.4820479
СУ "Васил Априлов",43.4697028,24.5303737
ОУ "Христо Смирненски",42.129243,24.5399552
Свети Кирил и Методи,42.8380902,27.313464
Светилник,42.6523738,23.376426
ПМГ „К. Величков“,42.1882816,24.3291342
ПГ „И. С. Аксаков“,42.1881764,24.3289852
Детско царство,42.6640574,23.3962991
89 ОУ Д-р Христо Стамболийски,42.6653483,23.3961104
69 СОУ Димитър Маринов,42.6666509,23.3962872
79 СУ „Индира Ганди“,42.7127871,23.2632887
27 СУ „Акад. Георги Караславов“,42.712534,23.2520986
40 СУ „Луи Пастьор“,42.7181491,23.2651612
56 СУ „Проф. Константин Иречек“,42.7217247,23.260875
97 СОУ Братя Миладинови,42.7131979,23.2407507
ЧСОУ Дружба,42.7451727,23.2724437
96 СОУ с изучаване на чужди езици Лев Н. Толстой,42.7168517,23.2440099
33 ОУ "Санкт Петербург",42.7205377,23.2477796
88 СУ Димитър Попниколов,42.6859347,23.2608398
ЧСОУ Евростар,42.6900108,23.2903754
163 ОУ Черноризец Храбър,42.6454744,23.4049995
